Date/Time,ABBEY DRIVE FLOW,ANNIESLAND ROAD FLOW,BALDWIN AVE FLOW,BALMORAL STREET FLOW,BLAIRDARDIE ROAD FLOW,BROOMHILL DRIVE FLOW,BUNHOUSE DMA,CAIRNTOUL DRIVE FLOW,CHAMBERLANE ROAD PCC FLOW,CLARENCE DRIVE FLOW,CROSS PARK DMA FLOW,CROWN ROAD NORTH DOWNSTREAM,CULLEN PACKAGING 1 FLOW,CULLEN PACKAGING MAIN FLOW,DANES CRESCENT DMA FLOW,DAWSHOLM RECYCLING FLOW,DUMBARTON RD EXPORT Z0046D01 FLOW,DUMBARTON ROAD THORNWOOD DRIVE,DYKE ROAD,EDZELL STREET DOWNSTREAM,ERISKA AVE FLOW,FORTH ROAD Z0330D04 FLOW,FULTON STREET,GARTNAVEL HOSPITAL 80MM FLOW,GARTNAVEL HOSPITAL SINGLE FLOW,GLASGOW UNI FLOW,GLASGOW UNI JOSEPH BLACK FLOW,GLENKIRK DR Z0313D03 FLOW,ILAY AVENUE FLOW 1,KELVINHAUGH STREET FLOW,LAWRENCE STREET FLOW,LINCOLN AVENUE,M4 ANNIESLAND CROSS TRUNK MAIN METER,MILNGAVIE DSR 2006 NS569753 AUCH M4 MAIN FLOW,MOORHOUSE AVENUE FLOW,OLD DUMBARTON RD FLOW,ORMINSTON AVENUE FLOW,PARTICK DMA PRV FLOW,PARTICKHILL RF FLOW,SPEIRSHALL CLOSE PRV FLOW,SUCHIEHALL ST Z0332D13 FLOW,UNIVERSITY AVENUE FLOW,WHITECROOKS STREET FLOW,WHITTINGHAM DRIVE FLOW,WOODCROFT AVENUE FLOW,YORKHILL A E FLOW,MILNGAVIE DSR 2006 NS569753 AUCH M3 MAIN FLOW,MERKLAND STREET DMA ,CROW ROAD TM PRV ,M4 DRYMEN ROAD TM,M4 DUMBARTON RD DERBY,MILNGAVIE DSR INLET (MILNGAVIE CWT),MILNGAVIE DSR INLET (BALMORE CWT)
01/07/2022 00:00,2.79,11.68,3.98,4.84,7.5,9.1,3.3,10.73,0.43,6.8,5.32,3.69,0,6.51,2.19,0,11.61,15.97,6.34,10.86,13.17,3.9,15.31,0,1.24,2.73,0.5,7.92,6.87,5.13,8.41,11.17,78.99,253.17,4.83,7.98,5.8,5.04,8.21,29.56,4.24,7.56,7.18,6.31,5.6,0.28,-373.57,0,0,0,0,0,0
01/07/2022 00:15,4.23,9.92,3.67,4.36,6.97,8.67,3.32,5.21,0.18,6.36,5.26,3.5,0,2.58,2.26,0,12.83,16.84,6.11,9.14,7.33,3.5,15.1,0,1.81,2.37,0.51,6.7,4.37,5.58,7.89,7.72,73.01,243.12,4.27,7.77,6.14,3.96,7.74,28.99,4.37,7.58,6.37,6.1,5.11,0.28,-373.57,0,0,0,0,0,0
01/07/2022 00:30,3.19,9.43,3.98,4.43,6.6,9.2,2.94,7.8,0.41,6.22,4.63,3.07,0,3.91,1.86,0,11.84,16.46,5.88,8.63,9.98,3.12,13.62,0,1.37,2.38,0.5,7.12,5.47,3.92,7.4,7.66,68.02,206.29,3.7,7.11,5.46,3.63,6.78,25.5,3.66,5.4,6,5.42,4.73,0.9,-373.57,0,0,0,0,0,0
01/07/2022 00:45,2.19,8.99,3.71,4.26,6.6,9.38,3.3,9.33,0.41,5.79,4.71,2.71,0,4.12,1.78,0,8.79,14.62,5.1,7.84,11,2.91,14.07,0,1.3,2.39,0.5,6.9,5.48,5.13,7.1,10.42,54.63,208.68,3.79,7.36,5.4,3.26,5.96,22.64,3.71,5.43,5.62,5.51,4.32,1.14,-373.57,0,0,0,0,0,0
01/07/2022 01:00,1.71,8.41,3.9,3.69,8.4,5.63,3.02,6.68,0.2,5.36,3.97,2.66,0,2.07,1.6,0,7.62,10.53,4.87,8.12,8.94,2.53,12.77,0,1.29,2.38,0.5,6.33,3.62,2.38,6.68,10.63,45.52,183.34,3.34,6.97,4.69,3.29,5.88,20.92,3.19,5.3,5.39,4.9,3.89,0.88,-373.57,0,0,0,0,0,0
01/07/2022 01:15,1.81,8.39,3.19,3.19,6.22,4.1,3.11,12.1,0.27,5.48,4.09,2.8,0,2.36,1.28,0,8.01,10.54,4.99,7.53,14.22,2.56,12.1,0,1.34,2.34,0.49,6.09,3.47,3.22,6.53,8.26,59.19,195.29,3.04,6.03,4.46,3.37,5.83,20.26,2.9,6.82,5.42,5.01,3.63,0.67,-373.57,0,0,0,0,0,0
01/07/2022 01:30,1.66,7.93,3.13,3.38,7.33,4.06,2.59,6.67,0.12,5.43,3.49,2.63,0,1.27,1.48,0,7.07,8.91,4.71,7.32,9.46,2.39,12.1,0,1.17,2.38,0.49,6.11,2.27,2.82,6.03,4.88,61.33,184.29,3.04,6.39,4.19,3.16,5.63,19.71,2.72,5.71,4.93,4.28,3.27,0.6,-373.57,0,0,0,0,0,0
01/07/2022 01:45,1.69,7.64,3.13,2.84,5.9,3.53,2.49,6.52,0.12,5.14,4.04,2.16,0,1.27,1.28,0,6.93,9.3,4.51,7.79,9.5,2.17,11.47,0,1.2,3.28,0.5,5.84,2.31,2.03,6.47,4.37,56.63,180.7,3.18,6.92,3.97,3.61,5.94,19.39,2.62,8.27,4.67,3.74,2.83,0.5,-373.57,0,0,0,0,0,0
01/07/2022 02:00,1.46,7.33,3,3.02,5.69,3.29,2.87,3.56,0.11,4.62,3.48,2.21,0,3.98,1.12,0,6.92,7.89,4.31,6.98,5.92,2.17,10.38,0,4.11,2.39,0.64,5.52,4.29,3.53,5.66,4.51,35.54,159.42,2.94,5.78,3.97,3.13,5.21,18.12,2.44,5.88,4.44,6.66,2.43,0.43,-373.57,0,0,0,0,0,0
01/07/2022 02:15,1.49,7.36,3.02,2.4,5.67,2.82,2.54,8.16,0.16,4.7,3.66,2.13,0,1.37,0.94,0,6.23,7.82,4.1,7.06,11.06,2.13,10.32,0,0.74,2.39,0.52,5.33,2.5,2,5.58,4.5,35.83,164.2,3.06,6.09,3.93,2.83,4.93,18.61,2.49,5.07,4.29,2.96,2.22,0.38,-374.28,0,0,0,0,0,0
